Iteration 100, PSNR: 6.67136660351524, SSIM: 4.038284848133723
Iteration 200, PSNR: 6.820837723917745, SSIM: 3.9489736427863433
Iteration 300, PSNR: 6.4348497539695195, SSIM: 3.3010369082291917
Iteration 400, PSNR: 6.29540426532299, SSIM: 3.3211587379376097
Iteration 500, PSNR: 6.539827968129442, SSIM: 2.545921891927719
Iteration 600, PSNR: 6.234293519037584, SSIM: 2.779991542299589
Iteration 700, PSNR: 6.327327496658562, SSIM: 3.0237196405728657
Iteration 800, PSNR: 6.440541340749361, SSIM: 3.318878560264905
Iteration 900, PSNR: 6.26015288929984, SSIM: 1.5139517548183603
Iteration 1000, PSNR: 6.536591864682209, SSIM: 2.2575331392387548
Iteration 1100, PSNR: 6.242332075086482, SSIM: 1.8901991496483488
Iteration 1200, PSNR: 6.402057525938568, SSIM: 2.608665722608566
Iteration 1300, PSNR: 6.389499657998275, SSIM: 1.6224879053731762
Iteration 1400, PSNR: 6.452465675740686, SSIM: 1.9098912239074703
Iteration 1500, PSNR: 6.552439172501611, SSIM: 2.032490279277166
Iteration 1600, PSNR: 6.459488499694658, SSIM: 2.3966445287068687
Iteration 1700, PSNR: 6.365691248413142, SSIM: 1.5584688333173593
Iteration 1800, PSNR: 6.6549696188253, SSIM: 0.7623051693042119
Iteration 1900, PSNR: 6.48688782017299, SSIM: 2.5211222737406693
Iteration 2000, PSNR: 6.468152065625821, SSIM: 1.3660785406827927
Iteration 2100, PSNR: 6.5189838417884225, SSIM: 1.0470572739839552
Iteration 2200, PSNR: 6.549623144406036, SSIM: 1.2021185070276261
Iteration 2300, PSNR: 6.478874011038729, SSIM: 1.3502671947081886
Iteration 2400, PSNR: 6.850949600066558, SSIM: 1.5793261875708895
Iteration 2500, PSNR: 6.24506752325042, SSIM: 1.217652424549063
Iteration 2600, PSNR: 6.51681365828689, SSIM: 1.1798498297731081
Iteration 2700, PSNR: 6.975042686681757, SSIM: 1.7036836038033167
Iteration 2800, PSNR: 7.063124612139192, SSIM: 1.3428157749275365
Iteration 2900, PSNR: 6.465289830310216, SSIM: 1.0254057563841341
Iteration 3000, PSNR: 6.7598116226145954, SSIM: 0.9106789901852608
Iteration 3100, PSNR: 6.561289681549897, SSIM: 0.9639541101331514
Iteration 3200, PSNR: 6.6869951400996195, SSIM: 1.029320918271939
Iteration 3300, PSNR: 6.497938292141818, SSIM: 1.2541311765710512
Iteration 3400, PSNR: 6.476320119136338, SSIM: 0.977114332218965
Iteration 3500, PSNR: 6.699733468595989, SSIM: 1.2638998730108142
Iteration 3600, PSNR: 6.468103763322929, SSIM: 1.0966435631116231
Iteration 3700, PSNR: 6.472365402176965, SSIM: 1.6418862357735637
