Iteration 100, PSNR: 5.1560465377747144, SSIM: 3.987987832228343
Iteration 200, PSNR: 5.682205002366073, SSIM: 3.626921608050664
Iteration 300, PSNR: 5.69553333927029, SSIM: 2.894961781303088
Iteration 400, PSNR: 6.207450926116177, SSIM: 2.0179651682575543
Iteration 500, PSNR: 6.456394157296651, SSIM: 2.130020105838776
Iteration 600, PSNR: 6.6105902333839754, SSIM: 1.8222257067759833
Iteration 700, PSNR: 6.955668305640481, SSIM: 1.6226183717449507
Iteration 800, PSNR: 7.046008247575646, SSIM: 1.3832755625247959
Iteration 900, PSNR: 7.023365316691395, SSIM: 1.3006921470165254
Iteration 1000, PSNR: 7.340404891249206, SSIM: 1.1240209907293321
Iteration 1100, PSNR: 7.673715942911125, SSIM: 1.522897061208884
Iteration 1200, PSNR: 7.695255478161827, SSIM: 1.1535886847724515
Iteration 1300, PSNR: 7.749532581169432, SSIM: 1.4106972644726434
Iteration 1400, PSNR: 7.834767023953223, SSIM: 0.7578220138947169
Iteration 1500, PSNR: 7.735789850446256, SSIM: 0.8834583948055904
Iteration 1600, PSNR: 7.380570894377772, SSIM: 2.0697642460465433
Iteration 1700, PSNR: 7.871947557292443, SSIM: 0.9763517647981645
Iteration 1800, PSNR: 7.920413860226973, SSIM: 0.7695413713653881
Iteration 1900, PSNR: 7.635488057519422, SSIM: 1.2605468198657035
Iteration 2000, PSNR: 8.085490045231403, SSIM: 1.0600856661796572
Iteration 2100, PSNR: 7.923652484317821, SSIM: 1.0348900847136973
Iteration 2200, PSNR: 7.7995909585005005, SSIM: 0.8086396267016728
Iteration 2300, PSNR: 7.5720442113612, SSIM: 0.6605235752960046
Iteration 2400, PSNR: 7.96890471129031, SSIM: 0.6597355739523967
Iteration 2500, PSNR: 8.096755455404, SSIM: 0.6172063186764718
Iteration 2600, PSNR: 7.947482423420934, SSIM: 0.7339562753836314
Iteration 2700, PSNR: 8.26243169179223, SSIM: 0.8157149573167165
Iteration 2800, PSNR: 8.171130405515733, SSIM: 0.9385646045207977
Iteration 2900, PSNR: 7.650453894525773, SSIM: 0.8587649817268054
Iteration 3000, PSNR: 7.742553155087409, SSIM: 0.8122528669734795
Iteration 3100, PSNR: 7.981001029187743, SSIM: 0.9319601188103358
Iteration 3200, PSNR: 7.972106313064842, SSIM: 0.6510590771834056
Iteration 3300, PSNR: 7.971029849733062, SSIM: 0.7542087526371081
Iteration 3400, PSNR: 7.697930718096655, SSIM: 0.5212765472941101
Iteration 3500, PSNR: 7.798571614365892, SSIM: 0.6976523850423594
Iteration 3600, PSNR: 7.909132233573542, SSIM: 0.5024535715579987
Iteration 3700, PSNR: 8.249526535049355, SSIM: 0.6275485266620914
Iteration 3800, PSNR: 7.753474492758657, SSIM: 0.48922355125347766
Iteration 3900, PSNR: 8.173842170023248, SSIM: 0.6155208375304937
Iteration 4000, PSNR: 7.93895355059925, SSIM: 0.5669031004110971
Iteration 4100, PSNR: 7.901177003393056, SSIM: 0.5236753679811954
Iteration 4200, PSNR: 7.997880506928195, SSIM: 0.4541493440667788
Iteration 4300, PSNR: 7.745530979199783, SSIM: 0.4448563979317745
Iteration 4400, PSNR: 7.96453386184863, SSIM: 0.5131098210811615
Iteration 4500, PSNR: 7.79764036475709, SSIM: 0.6521395136912663
Iteration 4600, PSNR: 7.918679825249174, SSIM: 0.5296624769767125
Iteration 4700, PSNR: 7.617575225057907, SSIM: 0.5081725604832172
Iteration 4800, PSNR: 7.754308141789605, SSIM: 0.49045835422972833
Iteration 4900, PSNR: 7.785042075270878, SSIM: 0.4476721289257208
Iteration 5000, PSNR: 7.725973090511107, SSIM: 0.5241207028428714
Iteration 5100, PSNR: 7.73971347367679, SSIM: 0.3860941087206205
Iteration 5200, PSNR: 7.671261921887761, SSIM: 0.44052269005527106
Iteration 5300, PSNR: 7.643323339064591, SSIM: 0.5384963799190396
Iteration 5400, PSNR: 7.768927374068374, SSIM: 0.5576751398543517
Iteration 5500, PSNR: 7.603227780729411, SSIM: 0.5408610080679258
